 AX   BX   CX   DX   SP   BP   SI   DI  FLAGS IP
0000 0000 0000 0000 ffe0 0000 0000 0000 ---- 0000:31ed         xor bp, bp
0000 0000 0000 0000 ffe0 0000 0000 0000 --Z- 0002:89e3         mov bx, sp
0000 ffe0 0000 0000 ffe0 0000 0000 0000 --Z- 0004:8b07         mov ax, [bx] ;[ffe0]0001
0001 ffe0 0000 0000 ffe0 0000 0000 0000 --Z- 0006:8d5702       lea dx, [bx+2] ;[ffe2]ffea
0001 ffe0 0000 ffe2 ffe0 0000 0000 0000 --Z- 0009:8d4f04       lea cx, [bx+4] ;[ffe4]0000
0001 ffe0 ffe4 ffe2 ffe0 0000 0000 0000 --Z- 000c:01c1         add cx, ax
0001 ffe0 ffe5 ffe2 ffe0 0000 0000 0000 -S-- 000e:01c1         add cx, ax
0001 ffe0 ffe6 ffe2 ffe0 0000 0000 0000 -S-- 0010:bb0800       mov bx, 0008
0001 0008 ffe6 ffe2 ffe0 0000 0000 0000 -S-- 0013:81fb0c00     cmp bx, 000c
0001 0008 ffe6 ffe2 ffe0 0000 0000 0000 -S-C 0017:730f         jnb 0028
0001 0008 ffe6 ffe2 ffe0 0000 0000 0000 -S-C 0019:f6c301       test bl, 1
0001 0008 ffe6 ffe2 ffe0 0000 0000 0000 --Z- 001c:750a         jne 0028
0001 0008 ffe6 ffe2 ffe0 0000 0000 0000 --Z- 001e:813f5353     cmp [bx], 5353 ;[0008]5353
0001 0008 ffe6 ffe2 ffe0 0000 0000 0000 --Z- 0022:7504         jne 0028
0001 0008 ffe6 ffe2 ffe0 0000 0000 0000 --Z- 0024:891e0200     mov [0002], bx ;[0002]000c
0001 0008 ffe6 ffe2 ffe0 0000 0000 0000 --Z- 0028:8b1e0200     mov bx, [0002] ;[0002]0008
0001 0008 ffe6 ffe2 ffe0 0000 0000 0000 --Z- 002c:890f         mov [bx], cx ;[0008]5353
0001 0008 ffe6 ffe2 ffe0 0000 0000 0000 --Z- 002e:51           push cx
0001 0008 ffe6 ffe2 ffde 0000 0000 0000 --Z- 002f:52           push dx
0001 0008 ffe6 ffe2 ffdc 0000 0000 0000 --Z- 0030:50           push ax
0001 0008 ffe6 ffe2 ffda 0000 0000 0000 --Z- 0031:e80500       call 0039
0001 0008 ffe6 ffe2 ffd8 0000 0000 0000 --Z- 0039:55           push bp
0001 0008 ffe6 ffe2 ffd6 0000 0000 0000 --Z- 003a:89e5         mov bp, sp
0001 0008 ffe6 ffe2 ffd6 ffd6 0000 0000 --Z- 003c:b8e514       mov ax, 14e5
14e5 0008 ffe6 ffe2 ffd6 ffd6 0000 0000 --Z- 003f:50           push ax
14e5 0008 ffe6 ffe2 ffd4 ffd6 0000 0000 --Z- 0040:e80400       call 0047
14e5 0008 ffe6 ffe2 ffd2 ffd6 0000 0000 --Z- 0047:55           push bp
14e5 0008 ffe6 ffe2 ffd0 ffd6 0000 0000 --Z- 0048:89e5         mov bp, sp
14e5 0008 ffe6 ffe2 ffd0 ffd0 0000 0000 --Z- 004a:56           push si
14e5 0008 ffe6 ffe2 ffce ffd0 0000 0000 --Z- 004b:57           push di
14e5 0008 ffe6 ffe2 ffcc ffd0 0000 0000 --Z- 004c:8b7e04       mov di, [bp+4] ;[ffd4]14e5
14e5 0008 ffe6 ffe2 ffcc ffd0 0000 14e5 --Z- 004f:09ff         or di, di
14e5 0008 ffe6 ffe2 ffcc ffd0 0000 14e5 ---- 0051:7d05         jnl 0058
14e5 0008 ffe6 ffe2 ffcc ffd0 0000 14e5 ---- 0058:b83000       mov ax, 0030
0030 0008 ffe6 ffe2 ffcc ffd0 0000 14e5 ---- 005b:50           push ax
0030 0008 ffe6 ffe2 ffca ffd0 0000 14e5 ---- 005c:e82600       call 0085
0030 0008 ffe6 ffe2 ffc8 ffd0 0000 14e5 ---- 0085:55           push bp
0030 0008 ffe6 ffe2 ffc6 ffd0 0000 14e5 ---- 0086:89e5         mov bp, sp
0030 0008 ffe6 ffe2 ffc6 ffc6 0000 14e5 ---- 0088:b80100       mov ax, 0001
0001 0008 ffe6 ffe2 ffc6 ffc6 0000 14e5 ---- 008b:50           push ax
0001 0008 ffe6 ffe2 ffc4 ffc6 0000 14e5 ---- 008c:8d4604       lea ax, [bp+4] ;[ffca]0030
ffca 0008 ffe6 ffe2 ffc4 ffc6 0000 14e5 ---- 008f:50           push ax
